jour;n_dose1_h;n_complet_h;n_rappel_h;Progression journaliere;Cumul_dose1
2020-12-27;1;0;0;;1
2020-12-27;324;31;0;323.0;325
2020-12-27;24;1;0;-300.0;349
2020-12-27;1;0;0;-23.0;350
2020-12-27;32;3;0;31.0;382
2020-12-27;13;2;0;-19.0;395
2020-12-27;35;2;0;22.0;430
2020-12-27;0;0;0;-35.0;430
2020-12-27;46;10;0;46.0;476
2020-12-27;44;2;0;-2.0;520
2020-12-27;63;5;0;19.0;583
2020-12-27;38;4;0;-25.0;621
2020-12-27;3;0;0;-35.0;624
2020-12-27;0;0;0;-3.0;624
2020-12-27;24;2;0;24.0;648
2020-12-28;354;20;0;330.0;1002
2020-12-28;33;0;0;-321.0;1035
2020-12-28;51;4;0;18.0;1086
2020-12-28;55;1;0;4.0;1141
2020-12-28;2;0;0;-53.0;1143
2020-12-28;25;0;0;23.0;1168
2020-12-28;15;0;0;-10.0;1183
2020-12-28;0;0;0;-15.0;1183
2020-12-28;38;6;0;38.0;1221
2020-12-28;9;0;0;-29.0;1230
2020-12-28;39;4;0;30.0;1269
2020-12-28;39;2;0;0.0;1308
2020-12-28;1;0;0;-38.0;1309
2020-12-28;46;3;0;45.0;1355
2020-12-28;1;0;0;-45.0;1356
2020-12-29;15;1;0;14.0;1371
2020-12-29;17;1;0;2.0;1388
2020-12-29;28;0;0;11.0;1416
2020-12-29;0;0;0;-28.0;1416
2020-12-29;2;0;0;2.0;1418
2020-12-29;23;2;0;21.0;1441
2020-12-29;1;0;0;-22.0;1442
2020-12-29;32;1;0;31.0;1474
2020-12-29;0;0;0;-32.0;1474
2020-12-29;10;0;0;10.0;1484
2020-12-29;19;2;0;9.0;1503
2020-12-29;180;10;0;161.0;1683
2020-12-29;14;2;0;-166.0;1697
2020-12-29;1;0;0;-13.0;1698
2020-12-29;18;1;0;17.0;1716
2020-12-30;207;10;0;189.0;1923
2020-12-30;15;1;0;-192.0;1938
2020-12-30;7;1;0;-8.0;1945
2020-12-30;6;1;0;-1.0;1951
2020-12-30;31;3;0;25.0;1982
2020-12-30;32;0;0;1.0;2014
2020-12-30;27;0;0;-5.0;2041
2020-12-30;0;0;0;-27.0;2041
2020-12-30;28;1;0;28.0;2069
2020-12-30;13;2;0;-15.0;2082
2020-12-30;0;0;0;-13.0;2082
2020-12-30;0;0;0;0.0;2082
2020-12-30;0;0;0;0.0;2082
2020-12-30;27;1;0;27.0;2109
2020-12-30;21;0;0;-6.0;2130
2020-12-31;24;0;0;3.0;2154
2020-12-31;13;0;0;-11.0;2167
2020-12-31;26;3;0;13.0;2193
2020-12-31;208;10;0;182.0;2401
2020-12-31;10;0;0;-198.0;2411
2020-12-31;20;0;0;10.0;2431
2020-12-31;5;0;0;-15.0;2436
2020-12-31;10;1;0;5.0;2446
2020-12-31;16;0;0;6.0;2462
2020-12-31;0;0;0;-16.0;2462
2020-12-31;0;0;0;0.0;2462
2020-12-31;23;2;0;23.0;2485
2020-12-31;37;2;0;14.0;2522
2020-12-31;23;2;0;-14.0;2545
2020-12-31;1;0;0;-22.0;2546
2021-01-01;33;3;0;32.0;2579
2021-01-01;89;3;0;56.0;2668
2021-01-01;95;6;0;6.0;2763
2021-01-01;19;0;0;-76.0;2782
2021-01-01;20;0;0;1.0;2802
2021-01-01;43;5;0;23.0;2845
2021-01-01;0;0;0;-43.0;2845
2021-01-01;78;3;0;78.0;2923
2021-01-01;145;13;0;67.0;3068
2021-01-01;2;0;0;-143.0;3070
2021-01-01;1;0;0;-1.0;3071
2021-01-01;674;40;0;673.0;3745
2021-01-01;23;2;0;-651.0;3768
2021-01-01;36;3;0;13.0;3804
2021-01-01;90;2;0;54.0;3894
2021-01-02;9;1;0;-81.0;3903
2021-01-02;0;0;0;-9.0;3903
2021-01-02;0;0;0;0.0;3903
2021-01-02;0;0;0;0.0;3903
2021-01-02;14;0;0;14.0;3917
2021-01-02;42;1;0;28.0;3959
2021-01-02;1;0;0;-41.0;3960
2021-01-02;9;1;0;8.0;3969
2021-01-02;12;2;0;3.0;3981
2021-01-02;186;15;0;174.0;4167
2021-01-02;15;2;0;-171.0;4182
2021-01-02;24;1;0;9.0;4206
2021-01-02;28;3;0;4.0;4234
2021-01-02;11;2;0;-17.0;4245
2021-01-02;21;2;0;10.0;4266
2021-01-03;44;2;0;23.0;4310
2021-01-03;31;0;0;-13.0;4341
2021-01-03;3;0;0;-28.0;4344
2021-01-03;3;0;0;0.0;4347
2021-01-03;28;2;0;25.0;4375
2021-01-03;24;3;0;-4.0;4399
2021-01-03;20;1;0;-4.0;4419
2021-01-03;0;0;0;-20.0;4419
2021-01-03;11;0;0;11.0;4430
2021-01-03;9;0;0;-2.0;4439
2021-01-03;0;0;0;-9.0;4439
2021-01-03;16;1;0;16.0;4455
2021-01-03;213;10;0;197.0;4668
2021-01-03;0;0;0;-213.0;4668
2021-01-03;24;1;0;24.0;4692
2021-01-04;3;0;0;-21.0;4695
2021-01-04;44;2;0;41.0;4739
2021-01-04;0;0;0;-44.0;4739
2021-01-04;1015;25;0;1015.0;5754
2021-01-04;47;1;0;-968.0;5801
2021-01-04;103;1;0;56.0;5904
2021-01-04;1;0;0;-102.0;5905
2021-01-04;93;3;0;92.0;5998
2021-01-04;87;5;0;-6.0;6085
2021-01-04;7;0;0;-80.0;6092
2021-01-04;264;5;0;257.0;6356
2021-01-04;49;1;0;-215.0;6405
2021-01-04;139;4;0;90.0;6544
2021-01-04;85;1;0;-54.0;6629
2021-01-04;93;2;0;8.0;6722
2021-01-05;74;2;0;-19.0;6796
2021-01-05;207;7;0;133.0;7003
2021-01-05;275;5;0;68.0;7278
2021-01-05;396;10;0;121.0;7674
2021-01-05;938;9;0;542.0;8612
2021-01-05;135;4;0;-803.0;8747
2021-01-05;503;5;0;368.0;9250
2021-01-05;216;2;0;-287.0;9466
2021-01-05;6;0;0;-210.0;9472
2021-01-05;5;0;0;-1.0;9477
2021-01-05;3649;63;0;3644.0;13126
2021-01-05;218;4;0;-3431.0;13344
2021-01-05;315;4;0;97.0;13659
2021-01-05;13;0;0;-302.0;13672
2021-01-05;348;11;0;335.0;14020
2021-01-06;401;9;0;53.0;14421
2021-01-06;3;0;0;-398.0;14424
2021-01-06;1873;9;0;1870.0;16297
2021-01-06;105;4;0;-1768.0;16402
2021-01-06;21;0;0;-84.0;16423
2021-01-06;5396;52;0;5375.0;21819
2021-01-06;2;0;0;-5394.0;21821
2021-01-06;468;5;0;466.0;22289
2021-01-06;313;4;0;-155.0;22602
2021-01-06;566;2;0;253.0;23168
2021-01-06;129;1;0;-437.0;23297
2021-01-06;404;10;0;275.0;23701
2021-01-06;195;3;0;-209.0;23896
2021-01-06;916;5;0;721.0;24812
2021-01-06;0;0;0;-916.0;24812
2021-01-07;169;2;0;169.0;24981
2021-01-07;992;4;0;823.0;25973
2021-01-07;1944;12;0;952.0;27917
2021-01-07;489;3;0;-1455.0;28406
2021-01-07;479;7;0;-10.0;28885
2021-01-07;1;1;0;-478.0;28886
2021-01-07;3745;10;0;3744.0;32631
2021-01-07;97;3;0;-3648.0;32728
2021-01-07;1254;7;0;1157.0;33982
2021-01-07;1;0;0;-1253.0;33983
2021-01-07;1593;5;0;1592.0;35576
2021-01-07;9;1;0;-1584.0;35585
2021-01-07;11565;66;0;11556.0;47150
2021-01-07;1;0;0;-11564.0;47151
2021-01-07;791;11;0;790.0;47942
2021-01-08;1;0;0;-790.0;47943
2021-01-08;2;0;0;1.0;47945
2021-01-08;0;0;0;-2.0;47945
2021-01-08;1622;6;0;1622.0;49567
2021-01-08;13;0;0;-1609.0;49580
2021-01-08;1558;6;0;1545.0;51138
2021-01-08;1131;6;0;-427.0;52269
2021-01-08;1183;3;0;52.0;53452
2021-01-08;600;5;0;-583.0;54052
2021-01-08;724;5;0;124.0;54776
2021-01-08;116;0;0;-608.0;54892
2021-01-08;2436;15;0;2320.0;57328
2021-01-08;5017;23;0;2581.0;62345
2021-01-08;238;6;0;-4779.0;62583
2021-01-08;14641;75;0;14403.0;77224
2021-01-09;521;5;0;-14120.0;77745
2021-01-09;20;1;0;-501.0;77765
2021-01-09;3;0;0;-17.0;77768
2021-01-09;0;0;0;-3.0;77768
2021-01-09;1735;5;0;1735.0;79503
2021-01-09;0;0;0;-1735.0;79503
2021-01-09;5281;30;0;5281.0;84784
2021-01-09;44;1;0;-5237.0;84828
